"Séquentiel","SID","Heure de soumission","Heure de complétion","Heure de modification","Brouillon","Adresse IP","UID","Nom d'utilisateur","1 - Vous êtes ? ","Votre statut :","Votre ancienneté dans la profession d'enseignant/chercheur (permanent ou non)","Autre statut :","Ancienneté de nomination sur votre premier poste (MCF, PU ou assimilé)","Obtention de l'HDR","Ancienneté de nomination sur votre poste actuel (MCF, PU ou assimilé)","Type de votre établissement","Autre établissement : ","Ville ","Vous êtes rattaché.e à :","Formation en informatique","Formation à forte composante informatique","Autres formations","Vous êtes membre d'un laboratoire","Au total","En Informatique","Distance en temps pour transiter de votre lieu d'enseignement à celui de la recherche","Commentaires éventuels (sur le formulaire ou sur votre situation personnelle)","Faites vous des heures complémentaires ?","Vous les faîtes majoritairement","cette année","ces cinq dernières années","Si vous avez une décharge d'enseignement, à combien se monte-elle en heures en moyenne par an  ","Combien de mois d'aménagement de temps (CRCT, délégation....) avez-vous obtenus ces dix dernières années","Quantité d'étudiants (TD/TP)","Quantité d'heures d'enseignement","Etat général des locaux et matériels","Equilibre volume CM/TD/TP","Organisation (rythme, doublons, horaires...) des enseignements","Relation avec les étudiants","Equipe pédagogique (relations, nombre...)","Equipe technique  (relations, nombre, support, ...)","Equipe administrative  (relations, nombre, support, ...)","Evaluation de vos enseignements","Charges administratives (volume, complexité...)","Responsabilités pédagogiques (UE, Année...)","Responsabilité de filière","Pensez-vous qu'il soit reconnu intitutionnellement ?","Appréciation personnelle sur l'enseignement","Commentaires éventuels (sur le formulaire ou sur votre appréciation personnelle de l'enseignement)","Quantité de doctorants/stagiaires/... ces 5 dernières années contribuant à votre recherche","Nbe d'heures de recherche disponibles","Etat général des locaux et matériels","Moyens financiers pérennes","Moyens financiers issus de projets","Equilbre montage de projet/réalisation concrète de projets","Ratio temps montage / taux de succès aux appels nationaux","Ratio temps montage / taux de succès aux appels internationaux","Retio temps montage-discussion / taux de succès aux contrats industriels","Equipe de recherche (relations, nombre...)","Equipe technique (relations, nombre, support, ...)","Equipe administrative  (relations, nombre, support, ...)","Charges administratives (projet, ..)","Animation (séminaire, médiatisation...)","Responsabilités locales (équipes, laboratoire...)","Responsabilités nationales ou internationales","Appréciation personnelle sur la recherche","Commentaires éventuels (sur le formulaire ou sur votre appréciation personnelle de la recherche)","Avez-vous des charges administratives ?","Resp. administratives","Resp. pédagogiques","Resp. électives (Conseils de composantes, de laboratoire, ...)","Autres","J'apprécie mes charges/activités administratives","J'ai  beaucoup de charges administratives","Je ne les ai pas vraiment ""choisies"" (elles m'ont été imposées / je les ai acceptées parce que personne ne voulait les prendre en charge)","Il y a des charges administratives que j'aurais voulu assurer mais que je n'ai pas pu obtenir","Certains  de mes collègues se défilent trop souvent à accepter ces charges","Mes responsabilités administratives sont bien prises en compte lors de l'évaluation de mon dossier RIPEC","Mes charges/activités administratives influent positivement sur le déroulement de ma carrière","Les moyens financiers pérennes nécessaires à ces activités sont suffisants","Les équipe administratives et/ou techniques nécessaires à ces activités sont suffisantes","J'ai assez d'automie dans ces activités","Quel serait pour vous, la répartition ""idéale"" entre Enseignement/Rech/Adm (donnez votre réponse sous la forme d'un ratio E/R/A - Ex. 45/45/10)","Pensez-vous avoir de bonnes chances d'avoir la RIPEC3 ?","Pensez-vous avoir de bonnes chances de progresser dans votre carrière (changement de grade, de classe... ?","Finalement trouvez vous ce métier encore intéressant ?","Pensez-vous qu'il est attirant pour de jeunes chercheurs ?","Le conseilleriez-vous à un futur docteur en Informatique ?","Pouvez-vous expliquer vos réponses merci ..."
"357","15963803","4/13/2023 14:13","4/13/2023 14:13","4/13/2023 14:13","0","0.0.0.0","0","Anonymous","Un homme","Maître de Conférences (sans HDR)","entre 5 et 10 ans","","entre 5 et 10 ans","Sans","entre 5 et 10 ans","Université (y compris Ecole d'ingénieur d'Université)","","Grenoble","une Ecole d'ingénieur avec une forte composante en Informatique",">200","<50","<50","majoritairement informatique (rattaché INS2I ou INSIS)","<50","<50","10","","Oui","Par nécessité de service","51 - 80","<50","0","0","2","3","3","3","3","4","4","3","3","4","2","3","NC","1","J'aime toujours enseigner","","1","1","4","2","4","3","2","NC","NC","4","4","3","2","2","2","NC","J'aime toujours faire de la recherche mais j'ai reduit pour des raisons personnelles","Réduction du temps de recherche due à une charge de travail importante de la partie enseignement","Oui","<5","5 - 8","<5","","1","3","3","NC","NSPP","NSPP","NSPP","3","4","4","45/45/10","Qui sait, sur un malentendu ...","Non","4","2","3",""
"358","15963808","4/13/2023 14:13","4/13/2023 14:13","4/13/2023 14:13","0","0.0.0.0","0","Anonymous","Une femme","Professeur des Universités","> 20 ans","","> 20 ans","> 10 ans","> 10 ans","Université (y compris Ecole d'ingénieur d'Université)","","Grenoble","une UFR avec une forte composante en informatique",">200",">200","50 - 100","majoritairement informatique (rattaché INS2I ou INSIS)",">300",">300","5","","Oui","Un peu des deux","bcp plus !","121 - 150","150","0","3","3","5","4","4","5","4","5","5","5","4","4","4","4","J'aime toujours enseigner","Je suis coordinatrice du département Informatique de l'UFR. J'assume les responsabilités quand je ne trouve personne (je suis responsable de la mention licence informatique cette année). Je suis chargée par mon université d'autres responsabilités.","3","1","5","0","3","3","NC","NC","NC","3","3","3","NC","3","NC","NC","J'aime toujours faire de la recherche mais j'ai reduit pour des raisons personnelles","Avec toutes les responsabilités administratives, peu de recherche.","Oui","<5","<5","<5",">15","4","5","4","NC","5","NC","NSPP","NSPP","NSPP","NSPP","30/30/40","Qui sait, sur un malentendu ...","Qui sait, sur un malentendu ...","5","4","4","Je gagne bien ma vie. J'ai pas vraiment envie de me fatiguer à faire un dossier pour gagner plus d'argent et recevoir un avis négatif parce que je ne fais pas assez de recherche. J'aimerais que certain(e)s de mes collègues puissent bénéficier de la RIPEC avant que je ne candidate."
"359","15963847","4/13/2023 14:15","4/13/2023 14:15","4/13/2023 14:15","0","0.0.0.0","0","Anonymous","Un homme","Professeur des Universités","> 20 ans","","> 20 ans","> 10 ans","> 10 ans","Université (y compris Ecole d'ingénieur d'Université)","","Nancy","une Ecole d'ingénieur avec une forte composante en Informatique",">200","","","majoritairement informatique (rattaché INS2I ou INSIS)",">300",">300","5","","Oui","Par nécessité de service","81 - 120","","0","12","2","2","5","4","3","5","4","4","4","NC","2","3","3","3","J'aime toujours enseigner mais un demi service me suffirait","","4","1","5","3","5","3","3","2","3","4","4","3","2","3","3","3","J'aime toujours faire de la recherche","","Oui","<5","","5 - 8","","4","3","4","NC","NSPP","NC","3","4","3","4","40/40/20","Je n'en ai aucune idée","Qui sait, sur un malentendu ...","5","3","2",""
"360","15963938","4/13/2023 14:19","4/13/2023 14:19","4/13/2023 14:19","0","0.0.0.0","0","Anonymous","Un homme","Maître de Conférences (sans HDR)","> 10 ans","","> 10 ans","Sans","> 10 ans","IUT","","Nice","un département d'informatique d'IUT","101 - 150","101 - 150","","majoritairement informatique (rattaché INS2I ou INSIS)","101 - 200","101 - 200","45","","Oui","Un peu des deux","81 - 120","81 - 120","0","6","5","1","3","4","4","4","0","2","4","NSPP","2","1","NSPP","1","J'aime toujours enseigner","pour les heures comp, je n'ai compté que les heures de cours ou d'encadrement, pas les primes pour responsabilité. ","0","1","3","2","0","0","0","2","0","1","1","1","0","1","0","0","J'aime toujours faire de la recherche mais j'ai reduit pour des raisons personnelles","Quand j'ai eu la chance d'encadrer un doctorant, j'avais une publication raisonnable (plusieurs papiers par an, dans des conférences pas les meilleurs, mais bonnes de même). Depuis 10 ans, sans, j'arrive publie beaucoup moins... plus les échecs de dépôts de projet ou de soumission... cela me décourage petit à petit. ","Non","<5","<5","<5","<5","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","40/40/20","Je n'en ai aucune idée","Non","2","1","1","Par rapport aux charges administratives, je n'en ai plus à partir de cette année 2022-23, mais j'en ai eu beaucoup tout au long de ma carrière (mise à part la première année en 2005-06). 

SInon, je réfléchis à changer de carrière.... mais l'aspect financier est un frein. "
"361","15964076","4/13/2023 14:26","4/13/2023 14:26","4/13/2023 14:26","0","0.0.0.0","0","Anonymous","Un homme","Professeur des Universités","> 20 ans","","> 20 ans","> 10 ans","< 5 ans","Université (y compris Ecole d'ingénieur d'Université)","","Caen","une UFR avec une composante en informatique",">200",">200","","majoritairement informatique (rattaché INS2I ou INSIS)","101 - 200","101 - 200","0","","Oui","Un peu des deux","<50","<50","0","0","3","3","2","1","4","4","2","4","4","NSPP","1","NC","NC","1","J'aime toujours enseigner","Le controle continu c'est bien pour les étudiants, mais ce augmente beaucoup la charge de travail pour les enseignants.","3","1","4","1","4","4","1","NC","4","NSPP","4","","1","3","NC","NC","","On passe son temps à soumettre des projets, remplir des dossiers pour les promotions, les primes, les dossiers d'évaluation. Et quand on ne fait pas cela, on évalue les dossiers des autres. C'est très bien, mais on ne produit rien avec cela. Pourrait-on nous laisser un peu de temps libre pour faire de la recherche et surtout nous faire un peu plus confiance. ","Non","","","","","4","NC","NC","NC","5","NC","3","NC","NC","NC","0/0/0","Non","Qui sait, sur un malentendu ...","3","2","3","On est passé dans un enseignement de masse en licence avec des contraintes d'organisation de plus en plus forte avec la semestrialisation. Il n'y a pas assez de personnels pour assurer l'ensemble des enseignements ce qui génère des tensions sur les heures complémentaires, la recherche de vacataire et les évaluations."
"362","15964500","4/13/2023 14:47","4/13/2023 14:47","4/13/2023 14:47","0","0.0.0.0","0","Anonymous","Une femme","Maître de Conférences (sans HDR)","entre 5 et 10 ans","","entre 5 et 10 ans","Sans","entre 5 et 10 ans","Université (y compris Ecole d'ingénieur d'Université)","","Toulouse","une UFR avec une composante en informatique","","",">200","pluridiciplinaire avec une forte composante informatique",">300","50 - 100","15","Je suis dans un département EEA d'une université donc plutôt génie informatique (61) que pur informatique (27). 
","Oui","Par nécessité de service","81 - 120","81 - 120","0","3","0","0","0","1","0","1","1","1","1","2","1","1","NC","0","J'aime toujours enseigner","J'adore mon métier d'enseignante-chercheuse mais je ne supporte plus la manière dont on le fait : le manque de moyen matériel (matériel vieillissant + manque de bras pour le maintenir et/ou le changer), le manque de personnel (enseignants, techniciens, administratifs...), le manque de reconnaissance de notre employeur (= l'université), le manque de soutien du laboratoire (recherche permanente de l'excellence, pression de publications, de prix...).

Cas personnel : burnout depuis 2 mois. ","2","0","2","2","2","NSPP","NSPP","NSPP","NSPP","1","2","2","1","2","NC","2","J'aime toujours faire de la recherche","idem remarque précédente pour l'enseignement.
Mon laboratoire ne se soucie vraiment pas suffisamment des enseignants-chercheurs. On est mis en concurrence avec les chercheurs ce qui est incompatible avec nos métiers respectifs. Comment avoir le même taux de publication qu'un chercheur à temps plein ?","Oui","<5","5 - 8","<5","","4","3","2","2","3","NC","2","1","1","2","33/33/33","Je n'en ai aucune idée","Qui sait, sur un malentendu ...","4","4","4","J'adore mon métier mais pas la manière dont se retrouve tous à le faire. Je suis optimiste de nature et je pense que l'arrivée de jeunes bienveillants et ouverts d'esprit peut faire changer les choses (carriéristes, opportunistes, chercheurs contrariés qui ne veulent pas faire d'enseignement, etc... s'abstenir !!). Donc oui, je conseillerais toujours ce métier mais avec beaucoup de prévention sur le monde actuel des enseignants-chercheurs."
"363","15964594","4/13/2023 14:51","4/13/2023 14:51","4/13/2023 14:51","0","0.0.0.0","0","Anonymous","Un homme","Professeur des Universités","> 20 ans","","> 20 ans","> 20 ans","> 10 ans","Université (y compris Ecole d'ingénieur d'Université)","","Nantes","une UFR avec une forte composante en informatique",">200","50 - 100","<50","pluridiciplinaire avec une forte composante informatique",">300",">300","0","","De façon très exceptionnelle","","","","0","0","4","2","3","4","5","5","5","4","4","5","4","4","4","2","J'aime toujours enseigner","J'aime beaucoup enseigner. Je n'ai jamais demandé de délégation ou de détachement mais enseigner un peu moins ne serait pas de refus.","4","3","4","3","3","2","1","0","2","5","4","4","2","4","3","3","J'aime toujours faire de la recherche","","Non","<5","5 - 8","<5","<5","4","1","1","2","4","NSPP","3","3","1","3","50/40/10","Je n'en ai aucune idée","Oui","5","2","3","Mon métier je l'ai choisi parce que j'aime l'enseignement et la recherche et je ne regrette pas même si c'est à refaire. Ceci dit, les conditions actuelles ne sont pas optimales. Ce n'est donc pas pour ceci que je l'ai choisi et je comprend qu'il y a de moins en moins d'étudiants brillants qui s'y engage. Mes étudiants, je leur explique la côté hasardeux de s'engager dans la voie recherche (e.g. décrocher un poste) et le côté administratif et intendance qui prend de l'ampleur et les moyens qui baissent mais je leur dit que s'il ont la passion alors ils doivent tenter."
"364","15964759","4/13/2023 14:57","4/13/2023 14:57","4/13/2023 14:57","0","0.0.0.0","0","Anonymous","Un homme","Professeur des Universités","> 20 ans","","> 10 ans","entre 5 et 10 ans","entre 5 et 10 ans","Université (y compris Ecole d'ingénieur d'Université)","","Strasbourg","une UFR avec une forte composante en informatique",">200","","","pluridiciplinaire avec une forte composante informatique",">300","50 - 100","30","","Oui","Par nécessité de service","51 - 80","51 - 80","66","0","3","2","2","3","1","4","4","4","4","4","0","3","1","1","J'aime toujours enseigner mais un demi service me suffirait","","1","0","3","0","1","0","0","0","1","4","4","2","1","2","1","2","J'aime toujours faire de la recherche","","Oui","5 - 8","9 - 15","<5","","1","4","4","1","2","2","2","1","0","3","25/75/0","Qui sait, sur un malentendu ...","Qui sait, sur un malentendu ...","4","1","2",""
"365","15965087","4/13/2023 15:11","4/13/2023 15:11","4/13/2023 15:11","0","0.0.0.0","0","Anonymous","Un homme","Maître de Conférences (sans HDR)","< 5 ans","","< 5 ans","Sans","< 5 ans","Université (y compris Ecole d'ingénieur d'Université)","","Grenoble","une Ecole d'ingénieur avec une forte composante en Informatique",">200",">200","<50","pluridiciplinaire avec une forte composante informatique","201 - 300","101 - 200","15","","Oui","Un peu des deux","<50","<50","0","0","3","1","2","3","1","4","1","1","1","NSPP","3","3","5","1","J'aime toujours enseigner mais un demi service me suffirait","","1","1","2","0","2","0","1","NC","NC","2","1","1","2","2","5","NC","J'aime toujours faire de la recherche","","Non","<5","5 - 8","<5","5 - 8","1","4","1","0","NSPP","NSPP","2","0","0","5","25/70/5","Oui","Non","3","2","3",""
"366","15965126","4/13/2023 15:13","4/13/2023 15:13","4/13/2023 15:13","0","0.0.0.0","0","Anonymous","Un homme","Maître de Conférences (avec HDR)","> 20 ans","","> 10 ans","entre 5 et 10 ans","> 10 ans","IUT","","","un département d'informatique d'IUT",">200","","","majoritairement informatique (rattaché INS2I ou INSIS)",">300",">300","15","","Oui","Par nécessité de service","bcp plus !","bcp plus !","0","0","4","0","4","4","4","5","4","4","4","5","2","2","2","0","J'aime toujours enseigner","","4","0","4","0","3","0","0","0","0","3","3","3","0","NC","2","2","J'aime toujours faire de la recherche","","Oui","5 - 8","5 - 8","<5","<5","1","4","5","0","5","0","0","0","0","NSPP","45/50/5","Qui sait, sur un malentendu ...","Qui sait, sur un malentendu ...","5","1","3",""
"367","15965346","4/13/2023 15:22","4/13/2023 15:22","4/13/2023 15:22","0","0.0.0.0","0","Anonymous","Un homme","Maître de Conférences (sans HDR)","> 10 ans","","> 10 ans","Sans","> 10 ans","Université (y compris Ecole d'ingénieur d'Université)","","Toulouse","une UFR avec une forte composante en informatique",">200",">200",">200","majoritairement informatique (rattaché INS2I ou INSIS)",">300",">300","5","","Oui","Par nécessité de service","81 - 120","81 - 120","0","6","1","1","4","1","1","4","1","1","3","NC","3","3","NC","0","J'aime toujours enseigner mais un demi service me suffirait","","0","3","1","0","0","0","0","0","NC","1","NC","NC","NC","NC","NC","NC","J'aime toujours faire de la recherche","J'ai arrêté de faire de la recherche dans le système français (impossibilité d'obtenir un financement, monopolisation des moyens par des caciques locaux) et collabore principalement avec des équipes internationales qui me fournissent un soutien financier ponctuel mais non institutionnalisé (sans contrats ou projets officiels).","Non","<5",">15","<5","<5","NC","0","NC","0","0","NC","NC","NC","NC","NC","40/40/20","Non","Non","3","1","1","Concernant RIPEC et autres carottes (promotions etc) pendus devant le nez des gens: J'ai arrêté d'en demander, après de multiples refus avec des justifications hallucinantes, y compris par le CNU. Les pontes politiquement bien placés les distribuent entre eux. 

Je n'ai plus de doctorants (au moins en France, voir mes commentaires sur mes implications à l'international), et une des raisons, à part le manque de moyens pour les financer, est que j'ai du mal à inciter de jeunes chercheurs à travailler dans un système qui est en train de péricliter."
"368","15965549","4/13/2023 15:31","4/13/2023 15:31","4/13/2023 15:31","0","0.0.0.0","0","Anonymous","Un homme","Maître de Conférences (sans HDR)","> 20 ans","","> 20 ans","Sans","> 20 ans","Université (y compris Ecole d'ingénieur d'Université)","","","une UFR avec une forte composante en informatique","50 - 100","","","majoritairement informatique (rattaché INS2I ou INSIS)","201 - 300","201 - 300","10","","Oui","Par nécessité de service","<50","<50","0","6","4","4","4","4","3","4","5","4","3","4","3","2","NC","1","J'aime toujours enseigner mais un demi service me suffirait","","4","1","4","3","5","4","3","NC","NC","4","4","4","3","4","4","4","J'aime toujours faire de la recherche","J'ai arrêté pour 4 ans de direction de composante. Difficile de reprendre, mais maintenant c'est reparti.
Dans mon domaine (IA), la vrai difficulté consiste à suivre le rythme des recherches extérieures et déterminer la valeur ajoutée de mes travaux.","Non","<5","5 - 8","5 - 8","<5","4","4","4","2","4","1","2","NC","2","4","40/50/10","Je ne suis pas ou plus concerné","Non","4","3","4",""
"369","15966195","4/13/2023 15:56","4/13/2023 15:56","4/13/2023 15:56","0","0.0.0.0","0","Anonymous","Un homme","Maître de Conférences (avec HDR)","> 10 ans","","> 10 ans","< 5 ans","< 5 ans","Université (y compris Ecole d'ingénieur d'Université)","","Paris","une UFR avec une forte composante en informatique",">200",">200","101 - 150","majoritairement informatique (rattaché INS2I ou INSIS)",">300",">300","0","","Oui","Un peu des deux","<50","<50","0","0","5","3","4","5","3","5","2","4","5","1","3","4","NC","1","J'aime toujours enseigner mais un demi service me suffirait","","5","3","5","0","5","2","3","NC","NC","5","5","4","3","NC","4","4","J'aime toujours faire de la recherche","","Non","<5","<5","<5","<5","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","35/60/5","Je n'en ai aucune idée","Oui","5","5","3","J'hésiterai à conseiller à de jeunes docteurs de se ""lancer"", car vu le nombre réduit de postes, il y a un risque important d'investir beaucoup et de ne rien avoir à la fin."
"370","15966379","4/13/2023 16:03","4/13/2023 16:03","4/13/2023 16:03","0","0.0.0.0","0","Anonymous","Un homme","Professeur des Universités","> 20 ans","","> 20 ans","> 20 ans","> 20 ans","Université (y compris Ecole d'ingénieur d'Université)","","","Autre","101 - 150","<50","","pluridiciplinaire avec une forte composante informatique","50 - 100","50 - 100","0","","De façon très exceptionnelle","","","","0","0","1","2","4","5","4","5","3","4","4","4","1","3","3","2","J'aime toujours enseigner mais un demi service me suffirait","","4","4","4","1","3","1","1","0","2","4","4","4","3","2","2","NSPP","J'aime toujours faire de la recherche","","Oui","5 - 8","5 - 8","5 - 8","5 - 8","1","4","3","1","4","NC","2","5","3","3","40/60/10","Je n'en ai aucune idée","Qui sait, sur un malentendu ...","4","5","5",""
"371","15966403","4/13/2023 16:04","4/13/2023 16:04","4/13/2023 16:04","0","0.0.0.0","0","Anonymous","Un homme","Professeur des Universités","> 20 ans","","> 20 ans","> 20 ans","> 10 ans","Université (y compris Ecole d'ingénieur d'Université)","","Montpellier","une UFR avec une composante en informatique","151 - 200",">200","151 - 200","pluridiciplinaire avec une forte composante informatique","201 - 300","101 - 200","20","","De façon très exceptionnelle","","","","0","6","4","3","3","4","0","5","3","0","0","4","0","0","0","1","J'aime toujours enseigner mais un demi service me suffirait","Le formulaire n'est pas toujours très clair quand la question est à caractère négatif. Par exemple ""Charges administratives"" je pense qu'elles sont chez moi en grande augmentation. J'ai mis 0 pour ""très dégradé"" mais c'est ma situation vis-à-vis de ces charges qui est très dégradée et non pas les charges qui elles sont florissantes et méritent 5. ","0","1","1","3","3","1","1","NC","NC","2","2","1","1","0","1","4","J'aime toujours faire de la recherche","","Oui","5 - 8","5 - 8","<5","<5","0","5","5","1","4","0","0","2","5","2","25/65/10","Non","Je ne suis pas ou plus concerné","4","1","1","C'est la fin de notre métier dans sa composante ""passion désintéressée"", dans son aspect ""idées nouvelles"" et aussi dans sa mission de conservatoire du savoir. Notre savoir n'est plus réellement dispensé aux générations futures et la richesse intellectuelle de la France s'appauvrit. "
"372","15966524","4/13/2023 16:09","4/13/2023 16:09","4/13/2023 16:09","0","0.0.0.0","0","Anonymous","Une femme","Professeur des Universités","> 20 ans","","> 20 ans","> 20 ans","> 20 ans","Université (y compris Ecole d'ingénieur d'Université)","","Paris","une UFR avec une forte composante en informatique",">200",">200",">200","majoritairement informatique (rattaché INS2I ou INSIS)",">300",">300","0","","Oui","Par nécessité de service","<50","<50","0","0","2","3","3","4","5","4","2","1","1","4","1","1","1","0","J'aime toujours enseigner mais un demi service me suffirait","","3","0","4","1","0","0","0","0","3","0","3","0","0","0","0","3","J'aime toujours faire de la recherche","","Oui","5 - 8","5 - 8","<5","<5","0","2","1","0","5","1","1","1","1","2","40/50/10","Je n'en ai aucune idée","Oui","2","1","1","Pas assez de temps pour mes activités de recherche"
"373","15966895","4/13/2023 16:24","4/13/2023 16:24","4/13/2023 16:24","0","0.0.0.0","0","Anonymous","Un homme","Maître de Conférences (sans HDR)","> 20 ans","","> 20 ans","Sans","> 20 ans","Université (y compris Ecole d'ingénieur d'Université)","","Paris","une UFR avec une forte composante en informatique",">200","","","majoritairement informatique (rattaché INS2I ou INSIS)",">300",">300","30","","Oui","Par nécessité de service","bcp plus !","bcp plus !","0","0","1","0","5","4","4","5","5","5","5","5","2","2","NC","1","J'aime toujours enseigner","","3","1","5","1","2","1","NC","NC","NC","4","5","5","2","2","2","NC","J'aime toujours faire de la recherche","","Oui","5 - 8","5 - 8","<5","<5","2","2","3","0","2","NC","0","NC","4","4","40/40/20","Je n'en ai aucune idée","Non","4","2","3",""
"374","15966962","4/13/2023 16:27","4/13/2023 16:27","4/13/2023 16:27","0","0.0.0.0","0","Anonymous","Un homme","Professeur des Universités","> 20 ans","","> 20 ans","> 10 ans","entre 5 et 10 ans","Université (y compris Ecole d'ingénieur d'Université)","","Rouen","une UFR avec une composante en informatique",">200","","","majoritairement informatique (rattaché INS2I ou INSIS)","50 - 100","50 - 100","0","","De façon très exceptionnelle","","","","0","0","4","4","4","4","","5","5","3","5","4","1","1","1","2","J'aime toujours enseigner","","4","4","4","1","1","1","0","0","0","4","1","1","1","4","2","","J'aime toujours faire de la recherche","","Non","","","","","","","","","","","","","","","0/0/0","Qui sait, sur un malentendu ...","Non","4","2","3","Cela reste un beau métier à condition de savoir refuser les charges qui pèsent de plus en plus dues au sous investissement chronique dans l'ESR. 
Le tout ""appel à projet"" est un gouffre en temps et en énergie qui incite aux désengagement de nombreux collègues.
Les contraintes administratives et budgétaires vous font refuser des postes à responsabilités. Je n'ai pas candidaté à une responsabilité de directeur d'UFR, où j'avais toutes les chances d'être élu, pour ne pas me retrouver à faire appliquer une politique que je réprouve."
"375","15967120","4/13/2023 16:34","4/13/2023 16:34","4/13/2023 16:34","0","0.0.0.0","0","Anonymous","Un homme","Professeur des Universités","> 20 ans","","> 10 ans","> 10 ans","< 5 ans","Université (y compris Ecole d'ingénieur d'Université)","","Gif-sur-Yvette ","une UFR avec une forte composante en informatique",">200","50 - 100","50 - 100","majoritairement informatique (rattaché INS2I ou INSIS)","101 - 200","101 - 200","10","","Oui","Par nécessité de service","<50","","0","0","4","0","4","2","0","1","0","2","0","0","0","0","0","2","S'il y a un moyen de ne plus en enseigner, ça m'intéresse","","4","0","4","4","4","0","1","1","1","4","1","0","0","3","1","1","J'aime toujours faire de la recherche","","Oui","9 - 15","9 - 15","<5","5 - 8","0","0","1","4","2","3","3","2","0","4","20/60/20","Je ne suis pas ou plus concerné","Je ne suis pas ou plus concerné","2","3","2",""
"376","15967157","4/13/2023 16:35","4/13/2023 16:35","4/13/2023 16:35","0","0.0.0.0","0","Anonymous","Un homme","Professeur des Universités","> 20 ans","","> 20 ans","> 20 ans","> 10 ans","Université (y compris Ecole d'ingénieur d'Université)","","Paris","une UFR avec une forte composante en informatique","50 - 100","","","majoritairement informatique (rattaché INS2I ou INSIS)","50 - 100","50 - 100","0","","Non","","","","100","0","5","4","5","5","5","5","4","5","5","4","3","4","4","4","J'aime toujours enseigner","","4","3","4","2","4","3","2","1","2","2","2","2","2","2","2","2","J'aime toujours faire de la recherche","","Oui","","9 - 15","<5","","2","2","3","3","3","NSPP","NSPP","NSPP","NSPP","3","30/60/10","Je n'en ai aucune idée","Non","5","1","2",""
"377","15967289","4/13/2023 16:41","4/13/2023 16:41","4/13/2023 16:41","0","0.0.0.0","0","Anonymous","Un homme","Maître de Conférences (sans HDR)","> 10 ans","","> 10 ans","Sans","> 10 ans","Université (y compris Ecole d'ingénieur d'Université)","","Evry","une UFR avec une composante en informatique",">200",">200",">200","pluridiciplinaire avec une forte composante informatique","101 - 200","50 - 100","15","HDR en cours de rédaction","Oui","Un peu des deux","<50","51 - 80","0","6","0","2","4","2","3","3","3","NC","4","3","2","3","NC","3","J'aime toujours enseigner mais un demi service me suffirait","","1","2","4","4","4","4","NC","NC","NC","3","3","3","4","2","3","NC","J'aime toujours faire de la recherche mais j'ai reduit pour des raisons personnelles","","Oui","5 - 8","<5","<5","<5","1","3","3","0","3","NSPP","3","3","3","4","25/60/15","Je n'en ai aucune idée","Oui","5","2","1",""
"378","15967460","4/13/2023 16:48","4/13/2023 16:48","4/13/2023 16:48","0","0.0.0.0","0","Anonymous","Une femme","Maître de Conférences (sans HDR)","> 20 ans","","> 20 ans","Sans","> 20 ans","Université (y compris Ecole d'ingénieur d'Université)","","Poitiers","une UFR avec une forte composante en informatique",">200","50 - 100","","pluridiciplinaire avec une forte composante informatique","201 - 300","<50","15","2 lieux d’enseignement, un sur le lieu de recherche, L’autre à 25mn.","Oui","Par nécessité de service","51 - 80","51 - 80","0","0","3","0","4","3","4","5","5","4","3","4","0","3","3","4","J'aime toujours enseigner","La forte augmentation des effectifs sans recrutement depuis 5 ans, rendent le nb d’heures supplémentaires insupportable. De même secrétariat pédagogiques n’arrivent plus à faire face et doivent être suppléées par les enseignants et enseignants-chercheurs.","4","0","5","2","3","1","0","0","5","4","2","4","4","5","NC","NC","J'aime toujours faire de la recherche","La charge d’enseignement qui a explosé, laisse de moins en moins de temps pour la recherche et pèse très fortement sur ma carrière.","Oui","5 - 8","5 - 8","<5","","4","3","3","0","4","NC","NSPP","0","0","4","40/40/20","Je n'en ai aucune idée","Qui sait, sur un malentendu ...","4","1","1","Les charges d’enseignement et administratives (la partie secrétariat qui devrait être assurée par du personnel d’appui) sont trop importantes pour que je passe mon HDR pour profiter du repyramidage et ne m’ont même pas laisser le temps de déposer mon dossier RIPEC3.
Le salaire est beaucoup trop bas par rapport à la quantité de travail à fournir et les conditions de travail dégradées. L’intérêt du travail, tant coté recherche qu’enseignement, ne compense plus la baisse de salaire par rapport aux d’ingénieurs. Si les systèmes de retraite publics et privés étaient compatibles, j’aurais probablement changé de métier. La récente augmentation de salaire ne compense pas les 10 années précédentes de baisse."
